,by,descendants,id,kids,score,time,title,type,url,text
36,ocdtrekkie,31.0,37989413,"[37991431, 37991159, 37992741, 37992944, 37994773, 37993554, 37994720, 37992701, 37992254, 37994122]",141,1698084725,"Sandstorm, Tempest, and the Future",story,https://sandstorm.org/news/2023-10-23-sandstorm-tempest-and-the-future,
37,beefman,152.0,37989875,"[37995386, 37990535, 37991173, 37990345, 37993204, 37991830, 37993950, 37990497, 37992081, 37991060, 37990550, 37990277, 37990726, 37993174, 37990446, 37991786, 37990298, 37990250, 37990655, 37990664, 37990604, 37990195, 37992173, 37990288, 37990350]",208,1698086767,How to run 50% faster without external energy (2020),story,https://www.science.org/doi/10.1126/sciadv.aay1950,
38,walterbell,129.0,37982137,"[37984263, 37983639, 37984653, 37985801, 37990492, 37983040, 37982924, 37982433, 37983956]",253,1698041323,Building a unikernel that runs WebAssembly – part 1,story,https://flavio.castelli.me/2023/02/07/building-a-unikernel-that-runs-webassembly---part-1/,
39,GuardianCaveman,95.0,37973229,"[37974239, 37974185, 37974580, 37979024, 37974020, 37974031, 37978447, 37974407, 37975507, 37977900, 37977066, 37986890, 37987709, 37986464, 37975701, 37977963, 37975442, 37975125, 37973982, 37983612, 37975605, 37974379, 37975310, 37973956, 37980359, 37978554, 37978540, 37974107, 37977277, 37974492]",882,1697955319,A Dutch graphic artist reconstructed Tenochtitlan in 3D,story,https://tenochtitlan.thomaskole.nl/index.html,
40,teleforce,5.0,37991191,"[37995201, 37995029, 37993757]",49,1698093226,Miniature RISC-V Developer Laptop Looks Like a Lenovo ThinkPad Clone,story,https://www.tomshardware.com/news/risc-v-laptop-looks-like-thinkpad,
41,skilled,8.0,37982447,"[37990407, 37989853]",70,1698045198,Abusing GDB features for data ingress and egress,story,https://www.archcloudlabs.com/projects/debuginfod/,
42,leotravis10,127.0,37990528,"[37994666, 37993987, 37993410, 37994089, 37996398, 37993913, 37993667, 37993822, 37993783, 37993602, 37993432, 37994257, 37994443, 37993426, 37993348]",112,1698089981,Samsung and other manufacturers disable phones bought on gray markets,story,https://nomadscrolls.net/2023/10/23/samsung-and-other-manufacturers-disable-phones-bought-on-gray-markets-a-consumer-nightmare/,
43,rntn,79.0,37988483,"[37990390, 37991836, 37989951, 37989412, 37992224, 37988860, 37989483, 37994063, 37991481, 37988786, 37988903, 37989343, 37991894]",222,1698080723,Cleveland launches plan to provide cheap broadband,story,https://www.techdirt.com/2023/10/23/tired-of-being-ripped-off-by-monopolies-cleveland-launches-ambitious-plan-to-provide-citywide-dirt-cheap-broadband/,
44,coolvision,28.0,37987877,"[37996558, 37989971, 37994522, 37996242, 37992493, 37993136]",56,1698078069,Show HN: Autolicious – AI-powered bookmark cataloging Chrome extension,story,https://chrome.google.com/webstore/detail/autolicious/jbmpomloomhbfflncpmcmfajbppfddjk,
45,amalinovic,18.0,37982524,"[37989039, 37989021, 37990399, 37990413, 37991281, 37994526, 37992240, 37989731, 37990647]",55,1698045974,How to Fetch a Turbo Stream,story,https://www.ducktypelabs.com/how-to-fetch-a-turbo-stream/,
46,PaulHoule,50.0,37989614,"[37991526, 37989997, 37991581, 37991451, 37991706, 37995147, 37991280, 37991167, 37991452, 37991789, 37992134, 37993154]",77,1698085668,Embarrassingly Simple Text Watermarks,story,https://arxiv.org/abs/2310.08920,
47,accrual,61.0,37976894,"[37979455, 37979801, 37983470, 37979283, 37984677, 37982110, 37987162, 37979967, 37984193, 37983642, 37979440, 37981799, 37983111, 37982278]",319,1697992885,How to Make a CPU – A Simple Picture Based Explanation,story,https://blog.robertelder.org/how-to-make-a-cpu/,
48,bugen,41.0,37981683,"[37986173, 37987354, 37993923, 37983165, 37989099, 37987963, 37986045, 37994071, 37987107, 37987295, 37990867, 37987651, 37984502, 37983107, 37987478, 37985980, 37983608, 37984980, 37984040, 37983355, 37983418, 37989695, 37989445, 37988190, 37983130]",196,1698035725,Show HN: Pypipe – A Python command-line tool for pipeline processing,story,https://github.com/bugen/pypipe,"pypipe is a command-line tool for writing data pipelines in Python. When working with data processing in the terminal, I often find myself wanting to pass the output of commands to Python for further processing. In such cases, one can either write one-liners or create regular Python scripts and connect them through pipes. However, using pypipe makes this process more convenient and efficient."
49,skilled,103.0,37973937,"[37978405, 37976939, 37975654, 37976659, 37974866, 37974474, 37975004, 37975226, 37974794, 37978605, 37976383, 37974560, 37975695, 37976930, 37976817, 37976916, 37976515, 37982240, 37975192, 37989788, 37989802, 37989286, 37982270]",365,1697966115,Stealing OAuth tokens of Microsoft accounts via open redirect in Harvest App,story,https://eval.blog/research/microsoft-account-token-leaks-in-harvest/,
50,jseliger,94.0,37988638,"[37994912, 37994616, 37995269, 37995127, 37994537, 37995668, 37994441, 37993305, 37994971, 37995464, 37994445, 37995015, 37995169]",130,1698081309,Personal aviation is about to get interesting,story,https://www.elidourado.com/p/personal-aviation,
51,samclemens,2.0,37975248,[37989127],48,1697981917,Four historians tell us a ghost story,story,https://www.historytoday.com/archive/head-head/four-historians-tell-us-ghost-story,
52,xnhbx,152.0,37982049,"[37982440, 37983709, 37986509, 37983588, 37983345, 37983557, 37982312, 37985914, 37983663, 37985595, 37984605, 37983179, 37983366, 37982603, 37995163, 37987680, 37982633, 37982787, 37983128, 37989742, 37986565, 37988282, 37987410, 37991744, 37982213, 37985036, 37985670, 37986332, 37990893, 37985527, 37982813, 37988530, 37985751]",214,1698040314,Excel will allow certain auto data conversions to be turned off,story,https://insider.microsoft365.com/en-us/blog/control-data-conversions-in-excel-for-windows-and-mac,
53,gadders,51.0,37995950,"[37996396, 37996378, 37996442, 37996380, 37996334, 37996681, 37996675, 37996534, 37996552, 37996765, 37996377, 37996361, 37996643, 37996449, 37996729]",35,1698133925,'Failure to act' on suicide website linked to 50 UK deaths,story,https://www.bbc.co.uk/news/uk-67082224,
54,mattbee,30.0,37983864,"[37987668, 37991359, 37991751, 37989594, 37993687, 37995395, 37993132, 37991620, 37987849, 37993282, 37988163, 37991629]",86,1698057875,William and Mary by Roald Dahl (1959),story,https://user.ceng.metu.edu.tr/~ucoluk/yazin/William_and_Mary.html,
55,heshiebee,155.0,37990990,"[37992270, 37991740, 37991668, 37991745, 37992509, 37992739, 37995040, 37991865, 37992451, 37992315, 37994344, 37992385, 37993876, 37992743, 37991685, 37992021, 37992263, 37992885, 37993117, 37992360, 37991590, 37991732, 37992117, 37993339]",292,1698092326,Mazda slaps developer with cease-and-desist for DIY smart home integration,story,https://www.thedrive.com/news/mazda-slaps-developer-with-cease-and-desist-for-diy-smart-home-integration,
56,pierat,107.0,37981294,"[37996847, 37981858, 37986888, 37981570, 37990793, 37981919, 37981772, 37981881, 37995426, 37982053, 37982047, 37981943, 37981815, 37986226, 37981904, 37988726, 37988747, 37981854, 37982336, 37988580, 37991284, 37981808, 37989208, 37981709, 37981754, 37981821, 37992482, 37981747, 37982645, 37990303, 37981791, 37981652, 37989947, 37981565, 37981767, 37981861, 37981615, 37982035, 37981857, 37981833, 37989104, 37981886, 37988683, 37982269, 37983322, 37983041, 37981775, 37982046]",123,1698031860,Ask HN: What happened to hackerspaces?,story,,"I remember when hackerspaces were in every major city, and quite a few medium sized cities also had them.<p>Now, most are gone, for various reasons.<p>What gives?"
57,jstanley,80.0,37977938,"[37981314, 37979160, 37980391, 37978664, 37981249, 37979528, 37978655, 37979180, 37979241, 37979717, 37979511, 37985540, 37982422, 37987549, 37981915, 37979229, 37980634, 37979030, 37980607, 37978129, 37979736, 37982728, 37981758, 37981868, 37981902, 37981419, 37980041, 37980726]",175,1698000210,How to Make Your Own Spooky Magic Eye Pictures (Autostereograms),story,https://blog.demofox.org/2023/10/22/how-to-make-your-own-spooky-magic-eye-pictures-autostereograms/,
58,pyrophane,29.0,37991777,"[37993594, 37996489, 37994983, 37996333, 37994670, 37994716, 37995442, 37993309, 37995790, 37994222, 37995445, 37994242, 37994663, 37993963, 37994895, 37994209, 37991807, 37993527]",28,1698096173,Ask HN: How is your startup doing?,story,,"Startup founders&#x2F;employees, how&#x27;s it going?<p>I know that VC funding has been harder to come by lately, and the &quot;macroeconomic environment&quot; may not be helping either.<p>I just want to know, for founders&#x2F;employees at startups, how have things been going?<p>Has growth kept on track? Are you worried about your next round?"
59,gmays,9.0,37986821,"[37994563, 37995322, 37995131, 37995021, 37995137]",32,1698074035,Why Ten Billion Snow Crabs Disappeared Off the Coast of Alaska,story,https://www.smithsonianmag.com/smart-news/why-10-billion-snow-crabs-disappeared-off-the-coast-of-alaska-180983112/,
60,arthurofbabylon,30.0,37982776,"[37991655, 37982848, 37991486, 37989804, 37991621, 37991399, 37990563, 37990616, 37991457, 37992100, 37993762, 37992312]",78,1698048302,Lets Have Three Abstraction Layers,story,https://minimal.app/Z0ndOgmj,
61,gslin,195.0,37983386,"[37984383, 37984789, 37985190, 37983870, 37988834, 37984342, 37983519, 37985087, 37988024, 37988208, 37994879, 37984103, 37984030, 37985123, 37986787, 37990583, 37988144, 37983516, 37985429, 37987991, 37990094, 37988280, 37990447, 37985340]",327,1698053356,Shopify files lawsuit over DMCA abuse,story,https://torrentfreak.com/shopify-files-lawsuit-over-illegal-dmca-takedown-abuse-231020/,
62,mariojv,18.0,37994469,"[37995362, 37996393, 37995676, 37995821, 37994634, 37996421]",54,1698116914,Spain's efficient high-speed trains have transformed people's lives,story,https://www.theguardian.com/commentisfree/2023/oct/11/spains-high-speed-trains-arent-just-efficient-they-have-transformed-peoples-lives,
63,thunderbong,101.0,37974021,"[37974499, 37975242, 37974677, 37975813, 37975036, 37977633, 37982222, 37977601, 37982095, 37974758, 37975129, 37982678, 37977713, 37975233, 37979384, 37977463, 37985250, 37976215, 37977175, 37979640, 37978326, 37977619, 37977548, 37979564, 37974488, 37989902, 37978973]",283,1697967407,The C4 model for visualising software architecture (2017),story,https://c4model.com/,
64,elashri,83.0,37990338,"[37990998, 37993102, 37991112, 37993526, 37992735, 37993106, 37992264, 37990927, 37994289, 37996693, 37990651, 37995804, 37993623, 37990960, 37992506, 37992788]",114,1698088964,The black market in GitHub stars,story,https://www.wired.com/story/github-stars-black-market-coders-cheat/,
65,wannacboatmovie,280.0,37987812,"[37989553, 37989449, 37992730, 37989730, 37989320, 37988792, 37988614, 37989926, 37989719, 37990010, 37989498, 37988643, 37989396, 37989344, 37989640, 37989338, 37989631, 37991531, 37990461, 37988472, 37989794, 37989263, 37991475, 37992583, 37988878, 37989939, 37990552, 37989394, 37989943, 37989728, 37989353, 37989753]",118,1698077807,Off-duty pilot allegedly tried to shut off engines on Alaska Airlines flight,story,https://abcnews.go.com/US/alaska-airlines-flight-diverted-after-credible-security-threat/story?id=104223059,
66,Jugurtha,34.0,37980626,"[37983049, 37982920, 37983332, 37988149, 37983275, 37985449, 37987647, 37984067, 37986555]",115,1698024784,National Center for Home Food Preservation,story,https://nchfp.uga.edu/,
67,based2,59.0,37978687,"[37980015, 37979981, 37980414, 37982595, 37980621, 37984858, 37980944, 37979830, 37980872, 37980335, 37979696, 37979661, 37984101, 37979100]",124,1698005708,Atomic Rocket,story,https://projectrho.com/public_html/rocket/index.php,
68,rapnie,166.0,37965947,"[37980450, 37981663, 37980963, 37982151, 37980566, 37984405, 37980798, 37983507, 37980916, 37980842, 37983416, 37980748, 37983915, 37981345, 37982126, 37982556, 37981091, 37982233, 37982773, 37980848, 37986315, 37980863, 37982950, 37981364, 37982107, 37980931, 37980547]",341,1697888008,Ruffle: Flash Player Emulator,story,https://ruffle.rs/,
69,pranay01,51.0,37978060,"[37980236, 37979462, 37980462, 37979488, 37981054, 37991530, 37980118, 37984132, 37981019, 37980258]",177,1698001108,OpenTelemetry at Scale: Using Kafka to handle bursty traffic,story,https://signoz.io/blog/maximizing-scalability-apache-kafka-and-opentelemetry/,
70,avyeed_desa,199.0,37982948,"[37985730, 37985144, 37988794, 37984574, 37985558, 37984629, 37986223, 37995733, 37987420, 37987924, 37984533, 37985582, 37990688, 37985963, 37987407, 37989105, 37986581, 37985334]",219,1698049753,Raspberry Pi 5: available now,story,https://www.raspberrypi.com/news/raspberry-pi-5-available-now/,
71,pabs3,40.0,37972793,"[37976584, 37977026, 37984242, 37973575, 37973265, 37975427, 37973676]",205,1697948507,Open Source Firmware Conference,story,https://www.osfc.io/,
72,JumpCrisscross,1.0,37995045,"[37995851, 37996289, 37995466]",18,1698124511,The Corporate Retreat from Hong Kong Is Accelerating,story,https://www.wsj.com/world/asia/hong-kong-china-corporate-headquarters-retreat-10454a9a,
73,AndrewDucker,80.0,37967936,"[37969315, 37970264, 37968558, 37968267, 37970821, 37968364, 37968158, 37968690, 37971414, 37970927, 37970175, 37979249, 37968499, 37969398, 37971481, 37968428, 37978300, 37969343, 37969369, 37968524, 37969195, 37968872]",404,1697904105,FPGA N64,story,http://www.ultrafp64.com/,
74,aforelight,32.0,37983349,"[37984214, 37986377, 37986035, 37986433, 37987116]",93,1698053048,Orcas that hunted alongside humans might be extinct,story,https://www.livescience.com/animals/orcas-that-hunted-alongside-humans-might-be-extinct,
75,liveder,66.0,37985007,"[37987457, 37989482, 37990673, 37988029, 37987855, 37995408, 37988172, 37989474, 37988481, 37987411, 37987514, 37989357, 37988807, 37993944, 37987585, 37987554, 37987558, 37987930, 37989025, 37987910]",82,1698066018,Matter 1.2 – New device types and improvements,story,https://csa-iot.org/newsroom/matter-1-2-arrives-with-nine-new-device-types-improvements-across-the-board/,
76,milsorgen,3.0,37987392,"[37993726, 37987397]",10,1698076088,Welcome to the Age of the Hermit Consumer,story,https://www.economist.com/finance-and-economics/2023/10/22/welcome-to-the-age-of-the-hermit-consumer,
77,StarfallDocs,1.0,37990247,[37990248],24,1698088514,900k neurons living on a tiny chip,story,https://twitter.com/Scobleizer/status/1716312250422796590,
78,kitebive,254.0,37982495,"[37983060, 37986132, 37982723, 37982995, 37983528, 37982690, 37996635, 37983309, 37983285, 37982665, 37986875, 37987190, 37987474, 37982935, 37989607, 37982586, 37988044, 37987770, 37982767, 37987752, 37982907, 37990330, 37988388, 37982936, 37982932, 37987408, 37983233, 37983192, 37983335, 37982908, 37988001, 37983225, 37983261, 37983136, 37988962]",181,1698045715,Why Japan has blue traffic lights instead of green,story,https://www.rd.com/article/heres-japan-blue-traffic-lights/,
79,LinuxBender,115.0,37987573,"[37989358, 37989686, 37991694, 37990643, 37990780, 37990559, 37989934, 37991084, 37990714, 37989751, 37989319, 37991028, 37989917, 37989180, 37989279, 37989378, 37989081, 37989395, 37990133]",226,1698076732,UK government surveilling social media of teaching assistants,story,https://reclaimthenet.org/uk-government-caught-surveilling-social-media-of-teaching-assistants-and-librarians,
80,winterqt,137.0,37985779,"[37987026, 37987240, 37987150, 37987781, 37988063, 37991053, 37986946, 37987206, 37987195, 37987995, 37986972, 37987271, 37992370, 37990993, 37990952, 37987840, 37987888, 37986981, 37987297, 37987008, 37989328, 37989313, 37987460, 37988855, 37991810, 37988193, 37986996, 37988200, 37987822, 37990517, 37987152, 37993565]",167,1698069710,Yarn 4.0,story,https://yarnpkg.com/blog/release/4.0,
81,pabs3,194.0,37954017,"[37971951, 37972229, 37973779, 37972313, 37975114, 37971938, 37972093, 37973374, 37972021, 37976224, 37986282, 37973133, 37972076, 37972083, 37974687, 37971916]",272,1697794494,22-year-old builds chips in his parents' garage (2022),story,https://www.wired.com/story/22-year-old-builds-chips-parents-garage/,
82,MaximilianEmel,17.0,37973053,"[37973918, 37974309, 37977196, 37974073, 37974831, 37976965, 37975479]",236,1697952502,The white furnace test,story,https://lousodrome.net/blog/light/2023/10/21/the-white-furnace-test/,
83,dcminter,66.0,37974525,"[37978137, 37976546, 37976697, 37989941, 37981485, 37984204, 37980971, 37985024, 37978526, 37981543, 37978131, 37978059, 37979825, 37975741]",94,1697975027,A 15 pound computer to inspire young programmers (2011),story,https://www.bbc.co.uk/blogs/thereporters/rorycellanjones/2011/05/a_15_computer_to_inspire_young.html,
84,yeesian,228.0,37970572,"[37971959, 37971914, 37972099, 37974370, 37973000, 37973396, 37972909, 37972312, 37972024, 37973322, 37972118, 37973055, 37972069, 37973377, 37974729, 37973577, 37972493, 37990160]",239,1697923447,The decline of computers as a general-purpose technology (2021),story,https://cacm.acm.org/magazines/2021/3/250710-the-decline-of-computers-as-a-general-purpose-technology/fulltext,
